question,m97a9c77vg4dvy35bg5y1jgef17tzqjr,m9798ph4t35j8ds4az55eaj0ks7tn5ap,m97cajdk7yh10b9y6354kfwtfh7vjb88,m977jj7k02707tz2s5pq4qv5jh7vm2zz,m97ch9ar8nnqa9wwd7t2bcrv5n7vm8xq,m972h5z2rnhe0qa408agrrxxjh7vm6b8,m97022t2bhh6nys0ngcqn7e9zd7vmagc
2.1,5,5,5,4,5,5,3
2.2,5,5,5,4,5,5,3
2.3,5,4,5,4,5,5,3
2.4,4,5,1,2,1,1,3
3.1,5,3,4,4,5,5,3
3.2,5,3,3,5,5,4,3
3.3,5,4,4,5,5,5,3
3.4,5,4,3,5,3,5,3
3.5,5,4,3,5,5,4,3
4.1,4,3,4,5,5,4,3
4.10,5,4,5,4,5,4,3
4.2,5,4,3,4,5,4,3
4.3,3,4,3,4,5,2,3
4.4,1,1,1,2,4,3,3
4.5,2,2,1,2,5,3,3
4.6,2,2,1,3,5,3,3
4.7,5,4,4,3,5,4,3
4.8,5,4,5,4,5,4,3
4.9,5,5,5,4,5,2,3
5.1,5,4,3,5,5,4,3
5.2,5,4,5,5,4,4,3
5.3,4,5,3,4,5,5,3
5.4,4,4,4,4,5,4,3
5.5,4,4,3,5,5,5,3
5.6,4,4,3,4,5,5,3
5.7,5,5,3,4,5,3,3
